t_s,margin_fid,margin_task,manip_fid,manip_task,viol_fid,viol_task
16.8000,0.3217,0.4119,0.1928,0.2016,0,0
16.8333,0.3233,0.4172,0.1941,0.2029,0,0
16.8667,0.3232,0.4225,0.1919,0.2014,0,0
16.9000,0.3242,0.4260,0.1917,0.2010,0,0
16.9333,0.3247,0.4281,0.1902,0.1999,0,0
16.9667,0.3258,0.4285,0.1898,0.1994,0,0
17.0000,0.3266,0.4280,0.1903,0.1995,0,0
17.0333,0.3259,0.4271,0.1894,0.1991,0,0
17.0667,0.3250,0.4258,0.1885,0.1982,0,0
17.1000,0.3247,0.4247,0.1880,0.1978,0,0
17.1333,0.3239,0.4233,0.1868,0.1966,0,0
17.1667,0.3225,0.4213,0.1845,0.1945,0,0
17.2000,0.3212,0.4151,0.1802,0.1905,0,0
17.2333,0.3197,0.4112,0.1792,0.1895,0,0
17.2667,0.3189,0.4082,0.1770,0.1874,0,0
17.3000,0.3175,0.4036,0.1775,0.1876,0,0
17.3333,0.3156,0.3979,0.1794,0.1888,0,0
17.3667,0.3138,0.3921,0.1812,0.1904,0,0
17.4000,0.3123,0.3887,0.1816,0.1908,0,0
17.4333,0.3105,0.3864,0.1811,0.1906,0,0
17.4667,0.3094,0.3849,0.1809,0.1904,0,0
17.5000,0.3083,0.3841,0.1806,0.1901,0,0
17.5333,0.3079,0.3845,0.1803,0.1899,0,0
17.5667,0.3078,0.3855,0.1797,0.1894,0,0
17.6000,0.3088,0.3877,0.1792,0.1890,0,0
17.6333,0.3109,0.3911,0.1785,0.1884,0,0
17.6667,0.3128,0.3949,0.1785,0.1883,0,0
17.7000,0.3134,0.3982,0.1778,0.1878,0,0
17.7333,0.3135,0.3990,0.1776,0.1877,0,0
17.7667,0.3131,0.3994,0.1778,0.1878,0,0
17.8000,0.3129,0.4006,0.1788,0.1885,0,0
17.8333,0.3132,0.4030,0.1790,0.1888,0,0
17.8667,0.3134,0.4063,0.1796,0.1894,0,0
17.9000,0.3129,0.4084,0.1799,0.1898,0,0
17.9333,0.3121,0.4099,0.1811,0.1910,0,0
17.9667,0.3114,0.4112,0.1824,0.1923,0,0
18.0000,0.3115,0.4128,0.1837,0.1936,0,0
18.0333,0.3112,0.4131,0.1841,0.1939,0,0
18.0667,0.3106,0.4133,0.1845,0.1943,0,0
18.1000,0.3097,0.4129,0.1851,0.1948,0,0
18.1333,0.3094,0.4134,0.1858,0.1956,0,0
18.1667,0.3099,0.4144,0.1868,0.1965,0,0
18.2000,0.3111,0.4157,0.1880,0.1975,0,0
18.2333,0.3127,0.4171,0.1891,0.1987,0,0
